League,Season,Position,Team,Matches,Wins,Draws,Losses,GoalsScored,GoalsConceded,GoalDiff,FinalPoints
Bundesliga,2019/20,9 ,Eintracht Frankfurt,34,13,6,15,59,60,-1,45
Bundesliga,2019/20,15 ,FC Augsburg,34,9,9,16,45,63,-18,36
Bundesliga,2019/20,12 ,FC Schalke 04,34,9,12,13,38,58,-20,39
Bundesliga,2019/20,17 ,Fortuna Dusseldorf,34,6,12,16,36,67,-31,30
Bundesliga,2019/20,10 ,Hertha BSC,34,11,8,15,48,59,-11,41
Bundesliga,2019/20,3 ,RB Leipzig,34,18,12,4,81,37,44,66
Bundesliga,2019/20,8 ,SC Freiburg,34,13,9,12,48,47,1,48
Bundesliga,2019/20,18 ,SC Paderborn 07,34,4,8,22,37,74,-37,20
Bundesliga,2019/20,16 ,SV Werder Bremen,34,8,7,19,42,69,-27,31
Bundesliga,2019/20,6 ,TSG 1899 Hoffenheim,34,15,7,12,53,53,0,52
Bundesliga,2019/20,7 ,VfL Wolfsburg,34,13,10,11,48,46,2,49
Major League Soccer,2015,20,Chicago Fire,34,8,6,20,43,58,-15,30
Major League Soccer,2015,19,Colorado Rapids,34,9,10,15,33,43,-10,37
Major League Soccer,2015,4,Columbus Crew SC,34,15,8,11,58,53,5,53
Major League Soccer,2015,8,D.C. United,34,15,6,13,43,45,-2,51
Major League Soccer,2015,2,FC Dallas,34,18,6,10,52,39,13,60
Major League Soccer,2015,15,Houston Dynamo,34,11,9,14,42,49,-7,42
Major League Soccer,2015,9,LA Galaxy,34,14,9,11,56,46,10,51
Major League Soccer,2015,7,Montreal Impact,34,15,6,13,48,44,4,51
Major League Soccer,2015,11,New England Revolution,34,14,8,12,48,47,1,50
Major League Soccer,2015,17,New York City FC,34,10,7,17,49,58,-9,37
Major League Soccer,2015,1,New York Red Bulls,34,18,6,10,62,43,19,60
Major League Soccer,2015,14,Orlando City SC,34,12,8,14,46,56,-10,44
Major League Soccer,2015,18,Philadelphia Union,34,10,7,17,42,55,-13,37
Major League Soccer,2015,5,Portland Timbers,34,15,8,11,41,39,2,53
Major League Soccer,2015,16,Real Salt Lake,34,11,8,15,38,48,-10,41
Major League Soccer,2015,13,San Jose Earthquakes,34,13,8,13,41,39,2,47
Major League Soccer,2015,6,Seattle Sounders FC,34,15,6,13,44,36,8,51
Major League Soccer,2015,10,Sporting Kansas City,34,14,9,11,48,45,3,51
Major League Soccer,2015,12,Toronto FC,34,15,4,15,58,58,0,49
Major League Soccer,2015,3,Vancouver Whitecaps FC,34,16,5,13,45,36,9,53
Major League Soccer,2016,20,Chicago Fire,34,7,10,17,42,58,-16,31
Major League Soccer,2016,2,Colorado Rapids,34,15,13,6,39,32,7,58
Major League Soccer,2016,18,Columbus Crew SC,34,8,12,14,50,58,-8,36
Major League Soccer,2016,10,D.C. United,34,11,13,10,53,47,6,46
Major League Soccer,2016,1,FC Dallas,34,17,9,8,50,40,10,60
Major League Soccer,2016,19,Houston Dynamo,34,7,13,14,39,45,-6,34
Major League Soccer,2016,6,LA Galaxy,34,12,16,6,54,39,15,52
Major League Soccer,2016,11,Montreal Impact,34,11,12,11,49,53,-4,45
Major League Soccer,2016,14,New England Revolution,34,11,9,14,44,54,-10,42
Major League Soccer,2016,4,New York City FC,34,15,9,10,62,57,5,54
Major League Soccer,2016,3,New York Red Bulls,34,16,9,9,61,44,17,57
Major League Soccer,2016,15,Orlando City SC,34,9,14,11,55,60,-5,41
Major League Soccer,2016,13,Philadelphia Union,34,11,9,14,52,55,-3,42
Major League Soccer,2016,12,Portland Timbers,34,12,8,14,48,53,-5,44
Major League Soccer,2016,9,Real Salt Lake,34,12,10,12,44,46,-2,46
Major League Soccer,2016,17,San Jose Earthquakes,34,8,14,12,32,40,-8,38
Major League Soccer,2016,7,Seattle Sounders FC,34,14,6,14,44,43,1,48
Major League Soccer,2016,8,Sporting Kansas City,34,13,8,13,42,41,1,47
Major League Soccer,2016,5,Toronto FC,34,14,11,9,51,39,12,53
Major League Soccer,2016,16,Vancouver Whitecaps FC,34,10,9,15,45,52,-7,39
Major League Soccer,2017,4,Atlanta United FC,34,15,10,9,70,40,30,55
Major League Soccer,2017,3,Chicago Fire,34,16,7,11,61,47,14,55
Major League Soccer,2017,20,Colorado Rapids,34,9,6,19,31,51,-20,33
Major League Soccer,2017,5,Columbus Crew SC,34,16,6,12,53,49,4,54
Major League Soccer,2017,21,D.C. United,34,9,5,20,31,60,-29,32
Major League Soccer,2017,13,FC Dallas,34,11,13,10,48,48,0,46
Major League Soccer,2017,10,Houston Dynamo,34,13,11,10,57,45,12,50
Major League Soccer,2017,22,LA Galaxy,34,8,8,18,45,67,-22,32
Major League Soccer,2017,19,Minnesota United FC,34,10,6,18,47,70,-23,36
Major League Soccer,2017,17,Montreal Impact,34,11,6,17,52,58,-6,39
Major League Soccer,2017,15,New England Revolution,34,13,6,15,53,61,-8,45
Major League Soccer,2017,2,New York City FC,34,16,9,9,56,43,13,57
Major League Soccer,2017,9,New York Red Bulls,34,14,8,12,53,47,6,50
Major League Soccer,2017,18,Orlando City SC,34,10,9,15,39,58,-19,39
Major League Soccer,2017,16,Philadelphia Union,34,11,9,14,50,47,3,42
Major League Soccer,2017,6,Portland Timbers,34,15,8,11,60,50,10,53
Major League Soccer,2017,14,Real Salt Lake,34,13,6,15,49,55,-6,45
Major League Soccer,2017,12,San Jose Earthquakes,34,13,7,14,39,60,-21,46
Major League Soccer,2017,7,Seattle Sounders FC,34,14,11,9,52,39,13,53
Major League Soccer,2017,11,Sporting Kansas City,34,12,13,9,40,29,11,49
Major League Soccer,2017,1,Toronto FC,34,20,9,5,74,37,37,69
Major League Soccer,2017,8,Vancouver Whitecaps FC,34,15,7,12,50,49,1,52
Major League Soccer,2018,2,Atlanta United FC,34,21,6,7,70,44,26,69
Major League Soccer,2018,20,Chicago Fire,34,8,8,18,48,61,-13,32
Major League Soccer,2018,21,Colorado Rapids,34,8,7,19,36,63,-27,31
